Title	Body (HTML)	Vendor	Product Category	Tags
Congratulating Song or Speech in Ukrainian	"<p>Would you like to truly impress your relative, colleague or the significant other? Gift them the congratulations Ukrainian. Regardless of event, there are suitable in the most beautiful language in the world! Get authentic Ukrainian products from shelves of local markets into your place! </p>
<p> </p>"	UkraStore		Attribute
Ukrainian Handcrafted Clay Bowl	<span>Discover the beauty of Ukrainian pottery - handcrafted with traditional techniques and featuring unique designs. Our collection includes plates, bowls, and vases that are both functional and decorative.</span>	UkraStore		Attribute
Ukrainian Traditional Namysto	"<span>Discover the beauty of Ukrainian folk art with our authentic namysto - traditional beaded necklaces, handcrafted and unique. Shop online for a piece of Ukraine's rich cultural heritage. G<span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">et Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</span></span>"	UkraStore		
Varenyky from Puzata Hata - Ukrainian Dumplings	"<span>Craving Ukrainian cuisine? Order delicious varenyky - Ukrainian dumplings online for an authentic taste experience. Made with quality ingredients in the most notorious bistro of Ukraine. G<span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">et Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</span></span>"	UkraStore		
Pysanky - Traditional Ukrainian Easter Eggs	<span><span>Shop for authentic Ukrainian pysanky - traditional Easter eggs, handmade and vibrantly colored. Discover the beauty of Ukrainian folk art. G</span></span>et Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!	UkraStore		Attribute
Ukrainian Unique Salt 1kg(Ukrainska Sil)	"<p>The inhabitant of every Ukrainian household, symbol of wealth and just an amazing supplement to the food. Surprise your friends and open new tastes with Ukrainian salt. G<span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">et Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</span></p>
<p><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></span></p>"	UkraStore		Food
Ukrainian Cossacks Pants(Sharovary)	<p>Be the most unique on any event by wearing traditional Ukrainian pants - sharovary. The ones loved by the biggest leaders of Ukraine in the past, for their convenience and style. Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Explore Ukraine and feel its unique spirit with UkraStore!</p>	UkraStore		
Ukrainian Pasta 1 kg(Ukrainsky Makarony)	"<p>Did you think Italian pasta is the best in the world? Let us offer you the chance to investigate it by yourself by tasting super delicious Ukrainian makarony, right from the shelf of local supermarket! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore		Food
Ukrainian Buckwheat 1 kg(Ukrainska Grechka)	"<p>The cleanest and tastiest buckwheat in the world: Ukrainian buckwheat! Impress the family with unusual and delicious dinner with Ukrainian buckwheat from UkraStore. Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients	Food
Ukrainian Hand-Made Ornamented Towel(Ukrainsky Rushnyk)	<p>The specially embroidered Ukrainian national towel. It is an attribute used in variety of Ukrainian customs: from meeting new guests to the wedding's ceremony. Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Explore Ukraine and feel its unique spirit with UkraStore!</p>	UkraStore		Attribute
Ukrainian Snack Sunflower Seeds(Sonyashnykove Nasinnya)	"<p>Taste the unique delicious Ukrainian snack which satisfies your buds, does not harm your health and fuel you with energy for new achievements! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Explore Ukraine and feel its unique spirit with UkraStore!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Food
Ukrainian Cossack Hat(Cozacka Shapka)	"Do you want to experience the ancient Ukrainian culture? Then purchase the hat which the bravest Ukrainian <a href=""https://en.wikipedia.org/wiki/Cossacks"" title=""Cossacks' story"" target=""_blank"" rel=""noopener noreferrer"">cossacks</a> used to wear during great battles and daily life! G<span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">et Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</span>"	UkraStore		
Ukrainian Notorious Lviv Coffee(Lvivska Kava)	"<p>The most delicious and fragrant coffee in the world, grown and made in the heart of Lviv on the Ploscha Rynok in your cup just in two clicks! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!<br></p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore		Food
Various Ukrainian Postmarks	<p>Authentic and newly issued in the central department of the main post of Ukraine(UkrPoshta) in the heart of Kyiv. Impress your buddies with unique purchase and support brave country! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</p>	UkraStore		
Ukrainian Lviv Sweets(Lvivsky Solodoschi)	"<p>Worldwide famous hand-crafted Lviv sweets produced and sold in the heart of the Lion's City in your home just in two clicks! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!<br></p>
<p><span>Satisfy your thirst with this authentic Ukrainian soda ""Zhyvchik"". Let its tasty flavor delight you and transport you to a realm of international flavor. A perfect refreshment to make any occasion special. Try it and see for yourself!</span></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Food
Ukrainian Millet(Ukrainske Pshono)	"<p>The must have of the most Ukrainian traditional dishes - tasty and cleaned Ukrainian millet right to your door from the shelf of Ukrainian market! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore		Food
Ukrainian Covid-19 Face Mask	Stay safe, patriotic and stylish with masks with authentic Ukrainian design! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!<br>	UkraStore		
Ukrainian Thematic Flags(National Ukrainian, Sea Armed Forces, etc.)	<p>The flags, symbolizing the might of unbreakable Ukrainian nation! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</p>	UkraStore		Attribute
Ukrainian Honey(Ukrainsky Med)	"<p>The tastiest and sweetest in the world honey, gathered from Ukrainian fields and produced by our bees! <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</span></p>
<p><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></span></p>"	UkraStore		Attribute, Food
"Ukrainian Traditional Black Bread ""Kyivhlib Ukrainsky"""	"Another item present in the house of each Ukrainian: from the president to common store's clerk! Authentic, fragrant and unbelievably tender Ukrainian Black Bread. Do not postpone the moment when you are tasting it. Order it now! 
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></span></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Food
Ukrainian Notorious Cured Pork Fat(Salo) 1kg	"Experience flavor of the food which the strongest Ukrainians use as their main source of energy and power! G<span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">et authentic Ukrainian products from shelves of local markets into your place! </span>"	UkraStore		
"Ukrainian Classic Candies ""Vechirniy Kyiv""(Evening Kyiv)"	"<p>The most delicious sweets in the world! Enjoy the taste of Ukrainian's capital. Get it right to your home bought from the store in the heart of Kyiv! Get it <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">authentic Ukrainian products from shelves of local markets into your place!</span></p>
<p><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></span></p>"	UkraStore		Food
Ukrainian Packet with Packets	"Do you want to experience how is it in the house of traditional Ukrainian family? Then purchase our classic attribute: Big pocket with different pockets of various Ukrainian brands inside. <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Get authentic Ukrainian products from shelves of local markets into your place! </span>"	UkraStore		
"Ukrainian Socks ""Zhytomyrski Nosky"""	"<p>Do you know what keeps feet of courageous Ukrainian warriors wet and warm? These bad boys! Legendary Zhytomyr Socks! Get authentic Ukrainian products from shelves of local markets into your place! </p>
<p> </p>"	UkraStore		Clothes
Ukrainian Baking Soda Powder	"<p>Do you want to be similar to the strongest nation in the world? Buy Ukrainian baking soda powder and put it at the back of your fridge and never use it! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong><br></p>"	UkraStore		Food
Ukrainian Bulava	"The symbol of justice and power. The great leaders of Ukraine, including Volodymyr Zelensky, always hold when swearing for loyalty to their Motherland! <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Find Ukrainian authentic and funny items, explore Ukraine and feel its unique spirit with UkraStore!</span>"	UkraStore		
Ukrainian National Men Shirt(Vyshysvanka)	"The classic Ukrainian cloth which survived hundreds of years and became even more fashionable! <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Get authentic Ukrainian products from shelves of local markets into your place! </span>"	UkraStore	Apparel & Accessories > Clothing	Clothes
Ukrainian Currency Banknotes(Hryvnas)	<p>Have you dreamt to touch Ukrainian money in real life? You are just two clicks away from that! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world! Explore Ukraine and feel its unique spirit with UkraStore!</p>	UkraStore		Attribute
"Ukrainian Legendary Soda ""Zhyvchik""(1l, 2l, 0,33l)"	"<p>Get the taste Ukrainian's Childhood! <span data-mce-fragment=""1"">Satisfy your thirst with this authentic Ukrainian soda ""Zhyvchik"". Let its tasty flavor delight you and transport you to a realm of international flavor. A perfect refreshment to make any occasion special. Try it and see for yourself!</span></p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Food
"True Ukrainian Chips ""Lux""(chipsy ""Luks"")"	"<p>Embark on a flavor-filled journey with Lux Ukrainian Chips, a true delight for adventurous food enthusiasts. Crafted with hand-selected, premium quality potatoes from Ukraine's lush countryside, each chip is a culinary masterpiece. Experience the rich traditions and vibrant flavors of Ukraine as you savor the tangy Sour Cream &amp; Onion or indulge in the exquisite Cheese. With Lux Ukrainian Chips, you support local farmers and artisans who pour their hearts into every chip. Let Lux Ukrainian Chips be your passport to an unforgettable gastronomic adventure - order now and savor the taste of Ukraine in every crispy bite.</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Attribute, Food
Ukrainian Pre-Game white T-Shirt FCDK with your own name	"<p data-mce-fragment=""1"">Show your spirit with this official Ukrainian Pre-Game White T-Shirt FCDK from Dynamo Kyiv! This cool, authentic t-shirt features original design from the iconic Ukrainian football club. Get your game-day ready and show off your team pride!</p>
<p data-mce-fragment=""1""><strong>PRINTING YOUR NAME AND NUMBER ARE AVAILABLE!</strong></p>"	UkraStore		Clothes, Sports
(Pack of 2) Ukrainian Sushki Kievski 420g	"<p><b>Brand:</b> Russian Bublik</p><p><b>Features:</b> </p><ul>
<li>Sushki is a traditional tea bread. It is a small, crunchy, mildly sweet bread ring which can be eaten for dessert.</li>
<li>Product of Ukraine</li>
<li>2 x 420 g</li>
</ul><p><b>EAN:</b> 4820011193630</p><p><b>Package Dimensions:</b> 8.3 x 8.3 x 6.1 inches</p>"	Russian Bublik		Breadsticks, Grocery, Russian Bublik
Fridge Magnet As Legendary Ukrainian Post Stamp Russian Warship, Go f***!	"<p><b>Features:</b> </p><ul>
<li>Refrigerator magnet featuring the image of the popular postage stamp ""Russian Warship Go F*** Yourself!"", face value W</li>
<li>Ukrainian Fridge Magnet is produced from high-quality fibreboard, with the image applied by a UV printer</li>
<li>The image is detailed and vivid. Paint does not wear off and does not fade in the sun.</li>
<li>Support Ukraine, Stand With Ukraine</li>
<li>Produced By Ukrposhta, Ukrainian National Post</li>
</ul><p><b>Binding:</b> Kitchen</p><p><b>model number:</b> Things with character</p><p><b>Part Number:</b> 747256465572</p><p><b>Details:</b> Description

Fridge magnet in the form of the legendary Ukrainian postage stamp ""Russian ship go f*** yourself"". Every time looking at this magnet you and your friends will recall the heroic deeds of the Ukrainian military. Suitable as an inexpensive gift for friends and family on any holiday, or you can present it as a gift without any special occasion. Magnet is made from high quality acrylic printing, the picture itself is very bright and saturated.</p><p><b>EAN:</b> 0747256465572</p><p><b>Package Dimensions:</b> 3.2 x 3.1 x 0.9 inches</p>"	UkraStore		Home, Stamps
Ukrainian Handmade Vyshyvanka Embroidered Hand Crafted Blouse Folklore Ukrainian Souvenir Bohemian Boho Style Top Ukrainian Art Clothing Souvenir Gift (4XL)	"<p><b>Brand:</b> Skrynia</p><p><b>Features:</b> </p><ul>
<li>PROCESSING TIME: up to 10 days. We have small manufacture, so the product is made directly for your order.</li>
<li>SHIPPING : From UKRAINE. Shipping terms up to 1 month. Please understand and be patient.</li>
<li>SIZE: Size chart attached with pictures. please be careful when choosing the size. If you are not sure, you better ask me.</li>
<li>MATERIAL: The blouse is made of high-quality Homespun (unbleached cotton), which does not change color, does not lose its shape.</li>
<li>PERFECT GIFT: This gorgeous dress will be perfect for wife, mother, daughter or friend! For any occasion: Christmas, Birthday or Prom and Wedding.</li>
</ul>"	Skrynia		Blouses & Shirts, Clothes, Guild, Skrynia
Ukrainian National Shirt Trident Ukraine Shirt	"<p data-mce-fragment=""1"">Look sharp and stylish in our Ukrainian National Shirt Trident Ukraine Shirt. It displays an authentic Ukrainian trident design, perfect for showing national pride. An easy way to express yourself and make your presence felt. Represent Ukraine with this eye-catching and fashionable shirt today!</p>"	UkraStore		amazon, Clothes, T-Shirts
Ukrainian men's snickers	<p><span>The Ukrainian men's snickers provide exceptional style and comfort. Using natural materials, these sneakers offer a modern look that won't compromise on comfort. Perfect for any occasion, these shoes are sure to make a statement.</span></p>	UkraStore		
"Ukrainian Legendary Poet Taras Shevchenko eBook ""Kobzar"""	"<p data-mce-fragment=""1"">This timeless Ukrainian Legendary Poet book ""Kobzar"", written by Taras Shevchenko, will take you on a journey of discovery as it recounts his life's story and pays tribute to the unbreakable spirit of the author. Through his masterful poetry, readers can immerse themselves in a world of emotion and aesthetic beauty. An exclusive and elegant addition to any library.</p>
<p data-mce-fragment=""1""><strong>﻿THE BOOK IS AVAILABLE IMMEDIATELY AFTER THE PURCHASE!</strong></p>"	UkraStore		EBook
Ukrainian Women Handmade Vyshyvnka	"<p data-mce-fragment=""1"">Show off your Ukrainian pride with this Handmade Vyshyvnka. Embroidered with a beautiful design, this elegant garment is sure to give your wardrobe an exquisite feel. Perfectly stitched and of exceptional quality, this Vyshyvnka is something special! Make it yours today!</p>"	UkraStore	Apparel & Accessories > Clothing > Shirts & Tops	Clothes
Ukrainian men's snickers	"<p>The Ukrainian men's snickers provide exceptional style and comfort. Using natural materials, these sneakers offer a modern look that won't compromise on comfort. Perfect for any occasion, these shoes are sure to make a statement.</p>
<p>Size:</p>
<p>US 8.5  UK 7    EUR 41</p>
<p>US 9.5  UK 7.5 EUR 42</p>
<p>US 10   UK 8.5 EUR 43</p>
<p>US 11   UK 9    EUR 44 </p>
<p>US 12   UK 10  EUR 45</p>"	UkraStore		
Keychain	"<p>Quality stainless steel keychain.</p>
<p>Product size: pendant size 25mm, circle size 28mm</p>
<p>The pendant on the key chain is movable. The pendant can also be removed and used, for example, as a locket.</p>
<p> </p>
<p> </p>"	UkraStore		
"Ukrainian designer scarf ""Glory to Ukraine"""	"<p data-mce-fragment=""1"">Wrap yourself with love and nationalism with this stunning Ukrainian designer scarf. Perfect for any occasion, this fashionable accessory is adorned with the inspiring slogan ""Glory to Ukraine"" - a motto that symbolizes pride and honor. Add a burst of patriotism to your wardrobe!</p>"	UkraStore	Apparel & Accessories	Clothes
